Phrase	IPA	SoundsLike	DisplayAs
１１β−水酸化酵素欠損症		１１ベータ−スイサンカコウソケッソンショウ	１１β−水酸化酵素欠損症
１７α−水酸化酵素欠損症		１７アルファ−スイサンカコウソケッソンショウ	１７α−水酸化酵素欠損症
１７β−ヒドロキシステロイド脱水素酵素欠損症		１７ベータ−ヒドロキシステロイドダッスイソコウソケッソンショウ	１７β−ヒドロキシステロイド脱水素酵素欠損症
１８−水酸化酵素欠損症		１８−スイサンカコウソケッソンショウ	１８−水酸化酵素欠損症
１８ｑ欠失症候群		１８ｑケッシツショウコウグン	１８ｑ欠失症候群
１８常染色体異常		１８ジョウセンショクタイイジョウ	１８常染色体異常
１ｐ３６欠失症候群		１ｐ３６ケッシツショウコウグン	１ｐ３６欠失症候群
１ｑ部分重複症候群		１ｑブブンジュウフクショウコウグン	１ｑ部分重複症候群
１型２色覚		１ガタ２シキカク	１型２色覚
１型３色覚		１ガタ３シキカク	１型３色覚
１型呼吸不全		１ガタコキュウフゼン	１型呼吸不全
１型色覚		１ガタシキカク	１型色覚
１型自己免疫性膵炎		１ガタジコメンエキセイスイエン	１型自己免疫性膵炎
１型糖尿病		１ガタトウニョウビョウ	１型糖尿病
１型糖尿病・関節合併症あり		１ガタトウニョウビョウ・カンセツガッペイショウアリ	１型糖尿病・関節合併症あり
１型糖尿病・眼合併症あり		１ガタトウニョウビョウ・ガンガッペイショウアリ	１型糖尿病・眼合併症あり
１型糖尿病・ケトアシドーシス合併あり		１ガタトウニョウビョウ・ケトアシドーシスガッペイアリ	１型糖尿病・ケトアシドーシス合併あり
１型糖尿病・昏睡合併あり		１ガタトウニョウビョウ・コンスイガッペイアリ	１型糖尿病・昏睡合併あり
１型糖尿病・神経学的合併症あり		１ガタトウニョウビョウ・シンケイガクテキガッペイショウアリ	１型糖尿病・神経学的合併症あり
１型糖尿病・腎合併症あり		１ガタトウニョウビョウ・ジンガッペイショウアリ	１型糖尿病・腎合併症あり
１型糖尿病・多発糖尿病性合併症あり		１ガタトウニョウビョウ・タハツトウニョウビョウセイガッペイショウアリ	１型糖尿病・多発糖尿病性合併症あり
１型糖尿病・糖尿病性合併症あり		１ガタトウニョウビョウ・トウニョウビョウセイガッペイショウアリ	１型糖尿病・糖尿病性合併症あり
１型糖尿病・糖尿病性合併症なし		１ガタトウニョウビョウ・トウニョウビョウセイガッペイショウナシ	１型糖尿病・糖尿病性合併症なし
１型糖尿病・末梢循環合併症あり		１ガタトウニョウビョウ・マッショウジュンカンガッペイショウアリ	１型糖尿病・末梢循環合併症あり
１型糖尿病黄斑症		１ガタトウニョウビョウオウハンショウ	１型糖尿病黄斑症
１型糖尿病合併妊娠		１ガタトウニョウビョウガッペイニンシン	１型糖尿病合併妊娠
１型糖尿病性アシドーシス		１ガタトウニョウビョウセイアシドーシス	１型糖尿病性アシドーシス
１型糖尿病性アセトン血症		１ガタトウニョウビョウセイアセトンケッショウ	１型糖尿病性アセトン血症
１型糖尿病性胃腸症		１ガタトウニョウビョウセイイチョウショウ	１型糖尿病性胃腸症
１型糖尿病性壊疽		１ガタトウニョウビョウセイエソ	１型糖尿病性壊疽
１型糖尿病性黄斑浮腫		１ガタトウニョウビョウセイオウハンフシュ	１型糖尿病性黄斑浮腫
１型糖尿病性潰瘍		１ガタトウニョウビョウセイカイヨウ	１型糖尿病性潰瘍
１型糖尿病性肝障害		１ガタトウニョウビョウセイカンショウガイ	１型糖尿病性肝障害
１型糖尿病性関節症		１ガタトウニョウビョウセイカンセツショウ	１型糖尿病性関節症
１型糖尿病性眼筋麻痺		１ガタトウニョウビョウセイガンキンマヒ	１型糖尿病性眼筋麻痺
１型糖尿病性筋萎縮症		１ガタトウニョウビョウセイキンイシュクショウ	１型糖尿病性筋萎縮症
１型糖尿病性血管障害		１ガタトウニョウビョウセイケッカンショウガイ	１型糖尿病性血管障害
１型糖尿病性ケトーシス		１ガタトウニョウビョウセイケトーシス	１型糖尿病性ケトーシス
１型糖尿病性ケトアシドーシス		１ガタトウニョウビョウセイケトアシドーシス	１型糖尿病性ケトアシドーシス
