drug_name,generic_name
ブロモバレリル尿素,ブロモバレリル尿素
抱水クロラール,抱水クロラール
ユーロジン散１％,エスタゾラム
ユーロジン１ｍｇ錠,エスタゾラム
エスタゾラム錠１ｍｇ「アメル」,エスタゾラム
ユーロジン２ｍｇ錠,エスタゾラム
エスタゾラム錠２ｍｇ「アメル」,エスタゾラム
ダルメートカプセル１５,フルラゼパム塩酸塩
ニトラゼパム１％細粒,ニトラゼパム
ベンザリン細粒１％,ニトラゼパム
ベンザリン錠２,ニトラゼパム
ニトラゼパム５ｍｇ錠,ニトラゼパム
ベンザリン錠５,ニトラゼパム
ニトラゼパム１０ｍｇ錠,ニトラゼパム
ベンザリン錠１０,ニトラゼパム
トリアゾラム０．１２５ｍｇ錠,トリアゾラム
ハルシオン０．１２５ｍｇ錠,トリアゾラム
トリアゾラム０．２５ｍｇ錠,トリアゾラム
ハルシオン０．２５ｍｇ錠,トリアゾラム
フルニトラゼパム１ｍｇ錠,フルニトラゼパム
サイレース錠１ｍｇ,フルニトラゼパム
フルニトラゼパム２ｍｇ錠,フルニトラゼパム
サイレース錠２ｍｇ,フルニトラゼパム
ブロチゾラム０．２５ｍｇ錠,ブロチゾラム
レンドルミン錠０．２５ｍｇ,ブロチゾラム
ブロチゾラム０．２５ｍｇ口腔内崩壊錠,ブロチゾラム
レンドルミンＤ錠０．２５ｍｇ,ブロチゾラム
エバミール錠１．０,ロルメタゼパム
ロラメット錠１．０,ロルメタゼパム
セレナール散１０％,オキサゾラム
セレナール錠５,オキサゾラム
セレナール錠１０,オキサゾラム
セパゾン散１％,クロキサゾラム
セパゾン錠１,クロキサゾラム
セパゾン錠２,クロキサゾラム
メンドンカプセル７．５ｍｇ,クロラゼプ酸二カリウム
セルシン散１％,ジアゼパム
ホリゾン散１％,ジアゼパム
ジアゼパム２ｍｇ錠,ジアゼパム
２ｍｇセルシン錠,ジアゼパム
ホリゾン錠２ｍｇ,ジアゼパム
ジアゼパム５ｍｇ錠,ジアゼパム
５ｍｇセルシン錠,ジアゼパム
ホリゾン錠５ｍｇ,ジアゼパム
１０ｍｇセルシン錠,ジアゼパム
ジアゼパム錠１０ｍｇ「ツルハラ」,ジアゼパム
レキソタン細粒１％,ブロマゼパム
ブロマゼパム細粒１％「サンド」,ブロマゼパム
レキソタン錠１,ブロマゼパム
ブロマゼパム錠１ｍｇ「サンド」,ブロマゼパム
レキソタン錠２,ブロマゼパム
ブロマゼパム錠２ｍｇ「サンド」,ブロマゼパム
ブロマゼパム錠３ｍｇ「サンド」,ブロマゼパム
レキソタン錠５,ブロマゼパム
ブロマゼパム錠５ｍｇ「サンド」,ブロマゼパム
メダゼパム錠２（ツルハラ）,メダゼパム
レスミット錠２,メダゼパム
メダゼパム錠５（ツルハラ）,メダゼパム
レスミット錠５,メダゼパム
ワイパックス錠０．５,ロラゼパム
ロラゼパム錠０．５ｍｇ「サワイ」,ロラゼパム
ワイパックス錠１．０,ロラゼパム
ロラゼパム錠１ｍｇ「サワイ」,ロラゼパム
アルプラゾラム０．４ｍｇ錠,アルプラゾラム
コンスタン０．４ｍｇ錠,アルプラゾラム
ソラナックス０．４ｍｇ錠,アルプラゾラム
アルプラゾラム０．８ｍｇ錠,アルプラゾラム
コンスタン０．８ｍｇ錠,アルプラゾラム
ソラナックス０．８ｍｇ錠,アルプラゾラム
アルプラゾラム錠０．８ｍｇ「アメル」,アルプラゾラム
トフィソパム細粒１０％「ツルハラ」,トフィソパム
トフィソパム５０ｍｇ錠,トフィソパム
グランダキシン錠５０,トフィソパム
クロルジアゼポキシド散,クロルジアゼポキシド
クロルジアゼポキシド散１％「ツルハラ」,クロルジアゼポキシド
クロルジアゼポキシド散,クロルジアゼポキシド
クロルジアゼポキシド錠,クロルジアゼポキシド
クロルジアゼポキシド錠,クロルジアゼポキシド
メイラックス細粒１％,ロフラゼプ酸エチル
ロフラゼプ酸エチル１ｍｇ錠,ロフラゼプ酸エチル
メイラックス錠１ｍｇ,ロフラゼプ酸エチル
ロフラゼプ酸エチル２ｍｇ錠,ロフラゼプ酸エチル
メイラックス錠２ｍｇ,ロフラゼプ酸エチル
クアゼパム１５ｍｇ錠,クアゼパム
ドラール錠１５,クアゼパム
クアゼパム２０ｍｇ錠,クアゼパム
ドラール錠２０,クアゼパム
ドルミカムシロップ２ｍｇ／ｍＬ,ミダゾラム
アモバルビタール,アモバルビタール
バルビタール,バルビタール
フェノバルビタール散１０％,フェノバルビタール
フェノバール散１０％,フェノバルビタール
フェノバルビタール,フェノバルビタール
フェノバール錠３０ｍｇ,フェノバルビタール
フェノバールエリキシル０．４％,フェノバルビタール
ラボナ錠５０ｍｇ,ペントバルビタールカルシウム
臭化カリウム,臭化カリウム
臭化ナトリウム,臭化ナトリウム
トリクロリールシロップ１０％,トリクロホスナトリウム
リスミー錠１ｍｇ,リルマザホン塩酸塩水和物
リスミー錠２ｍｇ,リルマザホン塩酸塩水和物
ゾピクロン７．５ｍｇ錠,ゾピクロン
アモバン錠７．５,ゾピクロン
ゾピクロン１０ｍｇ錠,ゾピクロン
アモバン錠１０,ゾピクロン
タンドスピロンクエン酸塩５ｍｇ錠,タンドスピロンクエン酸塩
セディール錠５ｍｇ,タンドスピロンクエン酸塩
タンドスピロンクエン酸塩１０ｍｇ錠,タンドスピロンクエン酸塩
セディール錠１０ｍｇ,タンドスピロンクエン酸塩
タンドスピロンクエン酸塩２０ｍｇ錠,タンドスピロンクエン酸塩
セディール錠２０ｍｇ,タンドスピロンクエン酸塩
ゾルピデム酒石酸塩５ｍｇ錠,ゾルピデム酒石酸塩
マイスリー錠５ｍｇ,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩１０ｍｇ錠,ゾルピデム酒石酸塩
マイスリー錠１０ｍｇ,ゾルピデム酒石酸塩
ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,ゾルピデム酒石酸塩
