disease_name,disease_kana,icd10_code
１１β−水酸化酵素欠損症,１１ベータ−スイサンカコウソケッソンショウ,E250
１７α−水酸化酵素欠損症,１７アルファ−スイサンカコウソケッソンショウ,E250
１７β−ヒドロキシステロイド脱水素酵素欠損症,１７ベータ−ヒドロキシステロイドダッスイソコウソケッソンショウ,Q561
１８−水酸化酵素欠損症,１８−スイサンカコウソケッソンショウ,E250
１８ｑ欠失症候群,１８ｑケッシツショウコウグン,Q935
１８常染色体異常,１８ジョウセンショクタイイジョウ,Q913
１ｐ３６欠失症候群,１ｐ３６ケッシツショウコウグン,Q935
１ｑ部分重複症候群,１ｑブブンジュウフクショウコウグン,Q878
１型２色覚,１ガタ２シキカク,H535
１型３色覚,１ガタ３シキカク,H535
１型呼吸不全,１ガタコキュウフゼン,J9690
１型色覚,１ガタシキカク,H535
１型自己免疫性膵炎,１ガタジコメンエキセイスイエン,K861
１型糖尿病,１ガタトウニョウビョウ,E10
１型糖尿病・関節合併症あり,１ガタトウニョウビョウ・カンセツガッペイショウアリ,E106
１型糖尿病・眼合併症あり,１ガタトウニョウビョウ・ガンガッペイショウアリ,E103
１型糖尿病・ケトアシドーシス合併あり,１ガタトウニョウビョウ・ケトアシドーシスガッペイアリ,E101
１型糖尿病・昏睡合併あり,１ガタトウニョウビョウ・コンスイガッペイアリ,E100
１型糖尿病・神経学的合併症あり,１ガタトウニョウビョウ・シンケイガクテキガッペイショウアリ,E104
１型糖尿病・腎合併症あり,１ガタトウニョウビョウ・ジンガッペイショウアリ,E102
１型糖尿病・多発糖尿病性合併症あり,１ガタトウニョウビョウ・タハツトウニョウビョウセイガッペイショウアリ,E107
１型糖尿病・糖尿病性合併症あり,１ガタトウニョウビョウ・トウニョウビョウセイガッペイショウアリ,E106
１型糖尿病・糖尿病性合併症なし,１ガタトウニョウビョウ・トウニョウビョウセイガッペイショウナシ,E109
１型糖尿病・末梢循環合併症あり,１ガタトウニョウビョウ・マッショウジュンカンガッペイショウアリ,E105
１型糖尿病黄斑症,１ガタトウニョウビョウオウハンショウ,E103
１型糖尿病合併妊娠,１ガタトウニョウビョウガッペイニンシン,O240
１型糖尿病性アシドーシス,１ガタトウニョウビョウセイアシドーシス,E101
１型糖尿病性アセトン血症,１ガタトウニョウビョウセイアセトンケッショウ,E101
１型糖尿病性胃腸症,１ガタトウニョウビョウセイイチョウショウ,E106
１型糖尿病性壊疽,１ガタトウニョウビョウセイエソ,E105
１型糖尿病性黄斑浮腫,１ガタトウニョウビョウセイオウハンフシュ,E103
１型糖尿病性潰瘍,１ガタトウニョウビョウセイカイヨウ,E105
１型糖尿病性肝障害,１ガタトウニョウビョウセイカンショウガイ,E106
１型糖尿病性関節症,１ガタトウニョウビョウセイカンセツショウ,E106
１型糖尿病性眼筋麻痺,１ガタトウニョウビョウセイガンキンマヒ,E103
１型糖尿病性筋萎縮症,１ガタトウニョウビョウセイキンイシュクショウ,E104
１型糖尿病性血管障害,１ガタトウニョウビョウセイケッカンショウガイ,E105
１型糖尿病性ケトーシス,１ガタトウニョウビョウセイケトーシス,E101
１型糖尿病性ケトアシドーシス,１ガタトウニョウビョウセイケトアシドーシス,E101
１型糖尿病性高血糖高浸透圧症候群,１ガタトウニョウビョウセイコウケットウコウシントウアツショウコウグン,E106
１型糖尿病性高コレステロール血症,１ガタトウニョウビョウセイコウコレステロールケッショウ,E106
１型糖尿病性虹彩炎,１ガタトウニョウビョウセイコウサイエン,E103
１型糖尿病性骨症,１ガタトウニョウビョウセイコツショウ,E106
１型糖尿病性昏睡,１ガタトウニョウビョウセイコンスイ,E100
１型糖尿病性神経因性膀胱,１ガタトウニョウビョウセイシンケイインセイボウコウ,E104
１型糖尿病性神経痛,１ガタトウニョウビョウセイシンケイツウ,E104
１型糖尿病性自律神経ニューロパチー,１ガタトウニョウビョウセイジリツシンケイニューロパチー,E104
１型糖尿病性腎硬化症,１ガタトウニョウビョウセイジンコウカショウ,E102
１型糖尿病性腎症,１ガタトウニョウビョウセイジンショウ,E102
１型糖尿病性腎症第１期,１ガタトウニョウビョウセイジンショウダイ１キ,E102
１型糖尿病性腎症第２期,１ガタトウニョウビョウセイジンショウダイ２キ,E102
１型糖尿病性腎症第３期,１ガタトウニョウビョウセイジンショウダイ３キ,E102
１型糖尿病性腎症第３期Ａ,１ガタトウニョウビョウセイジンショウダイ３キＡ,E102
１型糖尿病性腎症第３期Ｂ,１ガタトウニョウビョウセイジンショウダイ３キＢ,E102
１型糖尿病性腎症第４期,１ガタトウニョウビョウセイジンショウダイ４キ,E102
１型糖尿病性腎症第５期,１ガタトウニョウビョウセイジンショウダイ５キ,E102
１型糖尿病性腎不全,１ガタトウニョウビョウセイジンフゼン,E102
１型糖尿病性水疱,１ガタトウニョウビョウセイスイホウ,E106
１型糖尿病性精神障害,１ガタトウニョウビョウセイセイシンショウガイ,E106
１型糖尿病性そう痒症,１ガタトウニョウビョウセイソウヨウショウ,E106
１型糖尿病性多発ニューロパチー,１ガタトウニョウビョウセイタハツニューロパチー,E104
１型糖尿病性単ニューロパチー,１ガタトウニョウビョウセイタンニューロパチー,E104
１型糖尿病性中心性網膜症,１ガタトウニョウビョウセイチュウシンセイモウマクショウ,E103
１型糖尿病性低血糖性昏睡,１ガタトウニョウビョウセイテイケットウセイコンスイ,E100
１型糖尿病性動脈硬化症,１ガタトウニョウビョウセイドウミャクコウカショウ,E105
１型糖尿病性動脈閉塞症,１ガタトウニョウビョウセイドウミャクヘイソクショウ,E105
１型糖尿病性ニューロパチー,１ガタトウニョウビョウセイニューロパチー,E104
１型糖尿病性白内障,１ガタトウニョウビョウセイハクナイショウ,E103
１型糖尿病性皮膚障害,１ガタトウニョウビョウセイヒフショウガイ,E106
１型糖尿病性浮腫性硬化症,１ガタトウニョウビョウセイフシュセイコウカショウ,E106
１型糖尿病性末梢血管症,１ガタトウニョウビョウセイマッショウケッカンショウ,E105
１型糖尿病性末梢血管障害,１ガタトウニョウビョウセイマッショウケッカンショウガイ,E105
１型糖尿病性末梢神経障害,１ガタトウニョウビョウセイマッショウシンケイショウガイ,E104
１型糖尿病性網膜症,１ガタトウニョウビョウセイモウマクショウ,E103
１型尿細管性アシドーシス,１ガタニョウサイカンセイアシドーシス,N258
Ｉ型溶血性非球状赤血球性貧血,１ガタヨウケツセイヒキュウジョウセッケッキュウセイヒンケツ,D551
Ｉ群ハンセン病,１グンハンセンビョウ,A300
１系統に異形成を伴う不応性血球減少症,１ケイトウニイケイセイヲトモナウフオウセイケッキュウゲンショウショウ,D460
１色覚,１シキカク,H535
１秒率低下,１ビョウリツテイカ,R942
１秒量低下,１ビョウリョウテイカ,R942
２１−水酸化酵素欠損症,２１−スイサンカコウソケッソンショウ,E250
２２ｑ１１．２欠失症候群,２２ｑ１１．２ケッシツショウコウグン,Q938
２２ｑテトラソミー症候群,２２ｑテトラソミーショウコウグン,Q928
２型２色覚,２ガタ２シキカク,H535
２型３色覚,２ガタ３シキカク,H535
２型呼吸不全,２ガタコキュウフゼン,J9691
２型コラーゲン異常症関連疾患,２ガタコラーゲンイジョウショウカンレンシッカン,Q779
２型色覚,２ガタシキカク,H535
２型自己免疫性膵炎,２ガタジコメンエキセイスイエン,K861
２型糖尿病,２ガタトウニョウビョウ,E11
２型糖尿病・関節合併症あり,２ガタトウニョウビョウ・カンセツガッペイショウアリ,E116
２型糖尿病・眼合併症あり,２ガタトウニョウビョウ・ガンガッペイショウアリ,E113
２型糖尿病・ケトアシドーシス合併あり,２ガタトウニョウビョウ・ケトアシドーシスガッペイアリ,E111
２型糖尿病・昏睡合併あり,２ガタトウニョウビョウ・コンスイガッペイアリ,E110
２型糖尿病・神経学的合併症あり,２ガタトウニョウビョウ・シンケイガクテキガッペイショウアリ,E114
２型糖尿病・腎合併症あり,２ガタトウニョウビョウ・ジンガッペイショウアリ,E112
２型糖尿病・多発糖尿病性合併症あり,２ガタトウニョウビョウ・タハツトウニョウビョウセイガッペイショウアリ,E117
２型糖尿病・糖尿病性合併症あり,２ガタトウニョウビョウ・トウニョウビョウセイガッペイショウアリ,E116
２型糖尿病・糖尿病性合併症なし,２ガタトウニョウビョウ・トウニョウビョウセイガッペイショウナシ,E119
２型糖尿病・末梢循環合併症あり,２ガタトウニョウビョウ・マッショウジュンカンガッペイショウアリ,E115
２型糖尿病黄斑症,２ガタトウニョウビョウオウハンショウ,E113
２型糖尿病合併妊娠,２ガタトウニョウビョウガッペイニンシン,O241
２型糖尿病合併慢性腎臓病,２ガタトウニョウビョウガッペイマンセイジンゾウビョウ,N189
２型糖尿病性アシドーシス,２ガタトウニョウビョウセイアシドーシス,E111
２型糖尿病性アセトン血症,２ガタトウニョウビョウセイアセトンケッショウ,E111
２型糖尿病性胃腸症,２ガタトウニョウビョウセイイチョウショウ,E116
２型糖尿病性壊疽,２ガタトウニョウビョウセイエソ,E115
２型糖尿病性黄斑浮腫,２ガタトウニョウビョウセイオウハンフシュ,E113
２型糖尿病性潰瘍,２ガタトウニョウビョウセイカイヨウ,E115
２型糖尿病性肝障害,２ガタトウニョウビョウセイカンショウガイ,E116
２型糖尿病性関節症,２ガタトウニョウビョウセイカンセツショウ,E116
２型糖尿病性眼筋麻痺,２ガタトウニョウビョウセイガンキンマヒ,E113
２型糖尿病性筋萎縮症,２ガタトウニョウビョウセイキンイシュクショウ,E114
２型糖尿病性血管障害,２ガタトウニョウビョウセイケッカンショウガイ,E115
２型糖尿病性ケトーシス,２ガタトウニョウビョウセイケトーシス,E111
２型糖尿病性ケトアシドーシス,２ガタトウニョウビョウセイケトアシドーシス,E111
２型糖尿病性高血糖高浸透圧症候群,２ガタトウニョウビョウセイコウケットウコウシントウアツショウコウグン,E116
２型糖尿病性高コレステロール血症,２ガタトウニョウビョウセイコウコレステロールケッショウ,E116
２型糖尿病性虹彩炎,２ガタトウニョウビョウセイコウサイエン,E113
２型糖尿病性骨症,２ガタトウニョウビョウセイコツショウ,E116
２型糖尿病性昏睡,２ガタトウニョウビョウセイコンスイ,E110
２型糖尿病性神経因性膀胱,２ガタトウニョウビョウセイシンケイインセイボウコウ,E114
２型糖尿病性神経痛,２ガタトウニョウビョウセイシンケイツウ,E114
２型糖尿病性自律神経ニューロパチー,２ガタトウニョウビョウセイジリツシンケイニューロパチー,E114
２型糖尿病性腎硬化症,２ガタトウニョウビョウセイジンコウカショウ,E112
２型糖尿病性腎症,２ガタトウニョウビョウセイジンショウ,E112
２型糖尿病性腎症第１期,２ガタトウニョウビョウセイジンショウダイ１キ,E112
２型糖尿病性腎症第２期,２ガタトウニョウビョウセイジンショウダイ２キ,E112
２型糖尿病性腎症第３期,２ガタトウニョウビョウセイジンショウダイ３キ,E112
２型糖尿病性腎症第３期Ａ,２ガタトウニョウビョウセイジンショウダイ３キＡ,E112
２型糖尿病性腎症第３期Ｂ,２ガタトウニョウビョウセイジンショウダイ３キＢ,E112
２型糖尿病性腎症第４期,２ガタトウニョウビョウセイジンショウダイ４キ,E112
２型糖尿病性腎症第５期,２ガタトウニョウビョウセイジンショウダイ５キ,E112
２型糖尿病性腎不全,２ガタトウニョウビョウセイジンフゼン,E112
２型糖尿病性水疱,２ガタトウニョウビョウセイスイホウ,E116
２型糖尿病性精神障害,２ガタトウニョウビョウセイセイシンショウガイ,E116
２型糖尿病性そう痒症,２ガタトウニョウビョウセイソウヨウショウ,E116
２型糖尿病性多発ニューロパチー,２ガタトウニョウビョウセイタハツニューロパチー,E114
２型糖尿病性単ニューロパチー,２ガタトウニョウビョウセイタンニューロパチー,E114
２型糖尿病性中心性網膜症,２ガタトウニョウビョウセイチュウシンセイモウマクショウ,E113
２型糖尿病性低血糖性昏睡,２ガタトウニョウビョウセイテイケットウセイコンスイ,E110
２型糖尿病性動脈硬化症,２ガタトウニョウビョウセイドウミャクコウカショウ,E115
２型糖尿病性動脈閉塞症,２ガタトウニョウビョウセイドウミャクヘイソクショウ,E115
２型糖尿病性ニューロパチー,２ガタトウニョウビョウセイニューロパチー,E114
２型糖尿病性白内障,２ガタトウニョウビョウセイハクナイショウ,E113
２型糖尿病性皮膚障害,２ガタトウニョウビョウセイヒフショウガイ,E116
２型糖尿病性浮腫性硬化症,２ガタトウニョウビョウセイフシュセイコウカショウ,E116
２型糖尿病性末梢血管症,２ガタトウニョウビョウセイマッショウケッカンショウ,E115
２型糖尿病性末梢血管障害,２ガタトウニョウビョウセイマッショウケッカンショウガイ,E115
２型糖尿病性末梢神経障害,２ガタトウニョウビョウセイマッショウシンケイショウガイ,E114
２型糖尿病性ミオパチー,２ガタトウニョウビョウセイミオパチー,E114
