term,category
ANCA関連血管炎,血管
Aquala,関節
BPSD,症状
Brainbow,神経
C 求心性触感覚受容器,神経
CACNA1S,筋肉
CO-OPアプローチ,リハビリ
FAB分類,症状
HTLV-I関連脊髄症,症状
ISAKOS,整形外科
ISAKOS,関節
IVES,筋肉
MR.BRAIN,神経
MediVR カグラ,リハビリ
Mr.脳,神経
N400 (神経科学),神経
NIRS脳計測装置,神経
NSAID潰瘍,症状
Nou-darake,神経
Nバック課題,神経
PNF,リハビリ
Paroxysmal attack,症状
QT延長症候群,症状
QT短縮症候群,症状
Qニューロン,神経
RICEの法則,整形外科
T-Support,リハビリ
TrkB,神経
T管,筋肉
Α-エンドルフィン,神経
Β-エンドルフィン,神経
Γ-エンドルフィン,神経
いびき,症状
うっ血乳頭,症状
えら,臓器
おとがい,骨
くしゃみ,症状
こむら返り,症状
こむら返り,筋肉
しびれ,症状
しもやけ,症状
しゃっくり,症状
せん妄,看護
たばこ病,症状
はしご形神経系,神経
ばち指,症状
めまい,症状
るいそう,症状
アイゼンメンゲル症候群,症状
アウエルバッハ神経叢,神経
アウエルバッハ神経叢,臓器
アカシジア,症状
アカラシア,症状
アシドーシス,症状
アシドーシスとアルカローシス,症状
アストロサイト,神経
アセチルコリン受容体,神経
アダムス・ストークス症候群,症状
アドレナリン受容体,神経
アナボリックステロイド,臓器
アラタ体,臓器
アルカローシス,症状
アルファ波,神経
アルベルト・アインシュタインの脳,神経
アレルギー,症状
インナーマッスル,筋肉
インフルエンザ脳症,症状
ウィンドケッセルモデル,血管
ウロクローム,症状
エコーガイド下Fasciaリリース,整形外科
エッグズ・アンド・ブレインズ,神経
エディンガー・ウェストファル核,神経
エンジェルメイク,看護
エンゼルケア,看護
エンドルフィン,神経
オクルパッド,リハビリ
オシコーン,骨
オスグッド・シュラッター病,骨
オストメイト,臓器
オピオイド受容体,神経
オモレテ・デ・ミオレイラ,神経
カシン・ベック病,整形外科
カタプレキシー,症状
カタル,症状
カタル性炎症,症状
カタレプシー,症状
カリエス,骨
カリフォルニアから来た娘症候群,看護
カルシウム・パラドックス,骨
カルシウム誘発性カルシウム放出,筋肉
カンリン,骨
ガンマ波,神経
キルシュナー鋼線,整形外科
ギプス,整形外科
クオリア,神経
クスマウル呼吸,症状
クラッキング (関節),関節
クリオグロブリン血症,症状
クリグラー・ナジャール症候群,症状
クリスマス・ツリー (ボディビル),筋肉
クルミ割り現象,症状
クローヌス,症状
クールボアジェ徴候,症状
グリア細胞,神経
グレイアウト,症状
ケア,看護
ケルニッヒ徴候,症状
ゲルストマン症候群,症状
ゲロタ筋膜,臓器
ゲーム脳,神経
コッドマンの三角,骨
コネクトミクス,神経
コネクトーム,神経
コンパートメント症候群,整形外科
コーニス症候群,症状
コーヒー残渣様吐血,症状
コーレス骨折,整形外科
ゴルジ染色,神経
ゴルジ細胞,神経
ゴルジ腱器官,神経
ゴーハム病,整形外科
ゴーハム病,骨
サイズの原理,神経
サルコペニア,リハビリ
シェアード・ディシジョン・メイキング,看護
シックハウス症候群,症状
シナプス,神経
シナプス形成,神経
シナプス接着分子,神経
シミュラクラ現象,神経
シュワン細胞,神経
